State,Very happy,Quite happy,Not very happy,Not at all happy,NA,DK
AL,3.1,30.3,52.5,10.9,0,3.2
AZ,11,65.6,20.2,1.3,0,1.9
AR,28.8,52.8,14.9,2.4,0,1.1
BD,18,66.8,13.2,1.7,0,0.4
BG,9,46.5,32.7,8.7,0,3.1
BY,27,52.7,19.2,0.7,0,0.4
CL,22.7,60.9,14.1,1.7,0,0.6
CN,47.1,37.2,14.7,1,0,0
CO,8.9,73.8,14.2,2.1,1,0
CZ,55.6,36.4,6.7,1.1,0,0.2
SV,4.6,59.1,29.5,5.1,0,1.8
EE,23.7,67.5,6.5,1.1,0,1.2
FI,17.9,62.6,15.3,3,0,1.2
GER,29.9,46,19.8,2.8,0,1.5
IN,32.5,56.5,8.9,0.6,0,1.4
JP,11.9,76.9,10.1,1,0,0.1
KR,4.4,64.4,24.2,3.3,0,3.7
LV,31.5,38.1,26.3,2.6,0,1.5
MX,3.6,39.8,47.7,7.8,0,1.1
MD,32.8,61.5,4.3,0.6,0.7,0.1
NZ,46.2,38.1,12.4,2.9,0.4,0.1
NG,29.9,64.4,4.8,0.7,0,0.2
NO,28.2,34.7,35.1,1.2,0,0.8
PE,40.2,52.2,6.3,1.1,0,0.1
PH,18.3,67,11.5,2.5,0,0.7
PL,5.1,51,35.2,7.1,0,1.6
RO,6.1,44.1,40.3,7.6,0,1.9
RU,6.6,64.8,24.3,3.7,0,0.6
SK,13.4,60.4,22.5,2.8,0,0.9
SI,35.3,37.1,21.7,5.6,0,0.3
ZA,18.7,67.8,12.2,0.9,0,0.3
ESP,39.2,54.7,4.1,0.8,0,1.2
SE,39.8,54.5,4.7,0.6,0,0.4
SZ,51,37.3,9.4,2.1,0,0.1
TR,4.9,40.9,40.9,8.4,0,4.8
UA,13.4,48.9,32.6,3.4,0,1.7
MKD,32.4,58.2,6.8,2.4,0,0.2
USA,46.3,47.5,5.3,0.5,0,0.4
