State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,93.9,5.2,0.7,0.2,0,0
AR,88.9,10.2,0.4,0.3,0.2,0
BD,0,0,0,0,0,0
BG,97.6,1.7,0.8,0,0,0
BY,92.9,4.9,0.7,0,1.5,0
CL,91.7,7.1,1,0.2,0,0
CN,85.7,12.8,0.5,0.1,0.7,0.3
CO,85.1,14.4,0.3,0.2,0,0
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,88,9.8,1.7,0.4,0.1,0
FI,94.9,4.3,0.3,0,0,0.4
GER,0,0,0,0,0,0
IN,98.8,1.1,0.1,0,0,0
JP,90.8,6.8,0.6,0.2,0,1.6
KR,91.3,7.6,0.5,0.3,0.2,0
LV,0,0,0,0,0,0
MX,0,0,0,0,0,0
MD,92.1,6.4,0.3,0.3,0.2,0.6
NZ,93.1,5.5,1.1,0.2,0.1,0.1
NG,85,12.7,1.3,0.5,0.2,0.1
NO,88.7,10.1,0.6,0.2,0.2,0.3
PE,92.5,6,1.1,0.2,0,0.2
PH,0,0,0,0,0,0
PL,0,0,0,0,0,0
RO,91.1,8.4,0.2,0.2,0.1,0
RU,0,0,0,0,0,0
SK,98.4,1.3,0.2,0,0,0
SI,85.3,14.1,0.7,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,89.2,9,1.3,0.2,0,0
SZ,0,0,0,0,0,0
TR,95.4,4.3,0.1,0.1,0,0.1
UA,92,6.6,1.3,0.1,0,0
MKD,0,0,0,0,0,0
USA,90.9,7.3,0.8,0.6,0.4,0
