State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,18.6,65.8,12.4,0.5,0,2.7
AZ,35.2,56.6,7.4,0.6,0,0.1
AR,48.6,35.1,14.3,1.8,0,0.2
BD,16.1,57.5,22.8,3.1,0,0.4
BG,40.8,44.8,11.7,1.1,0,1.7
BY,27.6,36.1,30.4,4.8,0,1
CL,29.3,54.9,12.9,1,0,1.9
CN,33.5,51.7,14.1,0.6,0,0.2
CO,38.4,50.6,9.7,0.8,0.5,0
CZ,64.5,26.2,7.1,1.8,0,0.5
SV,26.8,59.2,12.6,1.2,0,0.2
EE,56,40.4,2.6,0.1,0,0.8
FI,43.4,49.3,6.1,0.5,0,0.6
GER,37.5,40,18.6,3,0,0.8
IN,48.1,46.5,4,0.3,0,1.1
JP,45.2,50.6,3,0.3,0.2,0.6
KR,24.2,56.9,16.5,2.2,0,0.2
LV,28.9,38.7,28.1,3.6,0,0.7
MX,21.2,50.6,24.3,3.2,0,0.7
MD,55.4,36.9,4.4,0.1,3.2,0.1
NZ,53,36.7,9.1,0.9,0,0.3
NG,59,38.1,2.8,0.2,0,0
NO,21.9,36.3,35.8,4.1,0,2
PE,39,48.8,10.6,1.5,0,0.1
PH,26,58.3,14.3,1,0,0.3
PL,20.7,47.2,28.2,3.4,0,0.5
RO,29.2,49.6,19.3,1.5,0,0.4
RU,32,58.6,7.9,0.6,0,0.9
SK,41,46.1,12.1,0.5,0,0.3
SI,27,35.4,24.6,12.3,0,0.7
ZA,40.7,49.2,8.3,1.3,0,0.4
ESP,69.9,28.2,1.6,0.3,0,0
SE,58.2,36,4.9,0.1,0,0.7
SZ,71.2,26.7,1.6,0.2,0,0.2
TR,34.1,52.6,9.1,1.6,0,2.6
UA,47.8,40.9,5.9,1.7,0,3.6
MKD,69.4,26.4,3.8,0.3,0,0.2
USA,55.2,30.5,8.1,5.5,0,0.8
