State,Very happy,Quite happy,Not very happy,Not at all happy,NA,DK
AL,0,0,0,0,0,0
AZ,9.7,49.1,30.6,9.9,0,0.7
AR,33,48.4,15.5,2.4,0,0.7
BD,0,0,0,0,0,0
BG,14.8,62.6,20.4,2.1,0,0.1
BY,0,0,0,0,0,0
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,36,43.9,18.9,0.6,0,0.6
FI,11.5,66.3,19,2.8,0.4,0
GER,25.3,47.6,20.9,4.5,0,1.7
IN,27.8,58.7,9.9,0.6,0,3
JP,9.6,78.1,10.7,1.7,0,0
KR,0,0,0,0,0,0
LV,0,0,0,0,0,0
MX,0,0,0,0,0,0
MD,0,0,0,0,0,0
NZ,0,0,0,0,0,0
NG,0,0,0,0,0,0
NO,56.5,34.5,7.2,1,0,0.8
PE,6,43.4,43.6,4.1,0,2.9
PH,66.8,25,7.3,0.9,0,0
PL,30.8,35.3,32.1,1.6,0,0.2
RO,38.4,49.2,11.7,0.6,0,0.1
RU,38.5,38.8,18.4,4.2,0,0.1
SK,20.1,66.9,11,1.4,0,0.6
SI,36.6,56.8,4.8,1.5,0,0.3
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,34.5,42.5,14,8.9,0,0.1
MKD,19.1,55.5,20.3,4.8,0,0.3
USA,39,54,5.8,0.5,0,0.7
