State,Very good,Good,Fair,Poor,Very poor,DK
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,33.2,45.5,18.6,2.6,0,0.1
BD,0,0,0,0,0,0
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,16.7,44.7,31.4,7.3,0,0
FI,33.3,31.7,22.6,12.1,0,0
GER,21.9,46.7,24.4,6.8,0,0.2
IN,13.5,40.1,37,8.7,1,0
JP,13.1,66.5,19.1,1.3,0,0
KR,22.1,41.9,32.2,3.5,0,0.1
LV,10.2,42.4,33.8,11.2,0,2.4
MX,7.3,40.4,48.5,3.9,0,0
MD,40.4,37.8,14.5,5.6,1.5,0.2
NZ,19.9,59.5,16.3,4,0,0.2
NG,34.8,42.8,19.2,3.2,0,0
NO,17,51.3,22.9,7.7,0.8,0
PE,0,0,0,0,0,0
PH,0,0,0,0,0,0
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,29.5,52.2,14.6,3.7,0,0
