State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,70.4,25.7,2.2,1.2,0.3,0.2
AR,49.7,29.5,10,7.4,0.1,3.3
BD,62.3,28.4,5.7,2.4,0.9,0.2
BG,43.7,41.8,7.5,1.4,0.7,5
BY,40.1,44.7,8.6,2.8,0.2,0.3
CL,67.9,25,3.9,1.5,0,1.7
CN,47.4,37.5,9.9,1.5,3.7,0
CO,61.9,29.1,7.2,1.7,0,0
CZ,84.9,12.6,1.3,0.6,0.4,0.1
SV,43.4,46.7,8.3,1.4,0,0.2
EE,34.6,47.7,7.2,4.3,5.8,0.4
FI,52.8,39.7,4.5,2.8,0,0.2
GER,71.2,23.5,3.9,0.8,0.6,0
IN,61,25.9,5.6,5.6,0,1.8
JP,53.5,34.9,6.2,2.8,1.9,0.7
KR,48.4,31.2,11.8,6.1,0.3,2
LV,47,45.1,5,2.4,0.2,0.3
MX,77.4,14.5,3.5,2.9,0,1.7
MD,51.9,35.8,6.2,5.5,0.4,0.1
NZ,53.2,38.7,3.9,3.8,0.3,0
NG,52.3,39.6,4.7,2.1,0.4,0.2
NO,56,30.5,8.4,4.8,0,0.1
PE,39.1,38.7,13.2,7.8,0.1,1.1
PH,32.2,47,12.9,6.8,1.1,0
PL,59.9,29.3,7.4,1.8,0.4,1.1
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,0,0,0,0,0,0
SZ,0,0,0,0,0,0
TR,0,0,0,0,0,0
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,0,0,0,0,0,0
