State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,8.4,21.8,32.7,36.1,0.3,0.7
BD,5.6,14.5,32.3,45.8,1.5,0.3
BG,13.3,34.9,28,5.6,0.4,17.8
BY,14.4,22.8,31.2,25.2,0,6.3
CL,19.7,41.7,27.6,3.6,7.4,0
CN,17.7,36.5,34.3,11.4,0.1,0
CO,19.7,26.8,27.3,24.1,0.6,1.4
CZ,4.6,21,46.4,27.7,0,0.3
SV,11,17,39.8,30.3,1.9,0
EE,21.7,25.6,28.6,22.7,0,1.4
FI,0,0,0,0,0,0
GER,0,0,0,0,0,0
IN,0,0,0,0,0,0
JP,0,0,0,0,0,0
KR,0,0,0,0,0,0
LV,0,0,0,0,0,0
MX,0,0,0,0,0,0
MD,0,0,0,0,0,0
NZ,0,0,0,0,0,0
NG,0,0,0,0,0,0
NO,0,0,0,0,0,0
PE,0,0,0,0,0,0
PH,0,0,0,0,0,0
PL,0,0,0,0,0,0
RO,0,0,0,0,0,0
RU,0,0,0,0,0,0
SK,0,0,0,0,0,0
SI,0,0,0,0,0,0
ZA,0,0,0,0,0,0
ESP,0,0,0,0,0,0
SE,7.6,21.3,43.1,27.6,0.1,0.2
SZ,15.5,47.1,29.3,8.1,0,0
TR,12.7,24.5,30.4,32,0,0.3
UA,0,0,0,0,0,0
MKD,0,0,0,0,0,0
USA,10.8,39.9,39.7,8.5,1,0
