State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,80,16,2,2,0,1
AZ,53,36,9,2,0,1
AR,70,26,2,1,0,0
BD,83,16,1,0,0,0
BG,52,31,8,5,0,4
BY,47,37,10,4,0,3
CL,64,28,5,1,0,2
CN,64,27,6,1,0,2
CO,72,27,1,0,0,0
CZ,49,35,10,5,1,0
SV,95,3,1,1,0,0
EE,60,32,5,2,0,2
FI,49,37,8,5,0,2
GER,50,36,9,3,0,1
IN,82,15,2,1,0,1
JP,54,34,8,2,0,3
KR,58,34,6,2,0,1
LV,56,34,6,3,0,1
MX,63,28,6,1,0,2
MD,52,33,7,6,0,2
NZ,45,41,6,3,5,0
NG,87,10,1,1,0,0
NO,59,35,4,2,0,0
PE,73,23,1,1,0,3
PH,83,15,2,1,0,0
PL,63,30,3,2,0,1
RO,59,35,5,1,0,0
RU,49,34,9,6,0,1
SK,47,42,7,3,0,1
SI,55,39,5,1,0,0
ZA,80,14,3,2,0,1
ESP,59,31,7,3,0,0
SE,65,29,3,2,0,1
SZ,47,42,8,3,0,2
TR,76,19,3,1,0,1
UA,47,36,8,5,0,4
MKD,82,8,3,1,0,6
USA,55,31,8,6,0,1
